date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2008-05-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,121.07,1.62
2008-05-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,388.8,5.2
2008-05-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,231.46,3.09
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,36.97,0.49
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,148.46,1.98
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,147.91,1.98
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,140.49,1.88
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2080.85,27.81
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,121.07,1.62
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,391.6,5.23
2008-06-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,231.46,3.09
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,37.96,0.51
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,148.73,1.99
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,150.17,2.01
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,143.6,1.92
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2127.36,28.46
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,121.07,1.62
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,392.02,5.24
2008-07-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,236.47,3.16
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,38.33,0.51
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,149.24,1.99
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,153.3,2.04
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,152.26,2.03
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2140.63,28.54
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,124.77,1.66
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.15,5.26
2008-08-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,237.54,3.17
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,39.03,0.52
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,151.17,2.02
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,156.39,2.09
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,153.54,2.05
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2131.83,28.49
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,130.3,1.74
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.15,5.27
2008-09-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,237.54,3.17
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,39.99,0.54
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,154.75,2.08
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,161.6,2.17
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,156.5,2.1
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2139.05,28.69
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,134.83,1.81
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.15,5.29
2008-10-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,237.29,3.18
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,40.45,0.54
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,155.73,2.09
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,166.42,2.23
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,163.32,2.19
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2154.15,28.88
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,140.64,1.89
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.15,5.28
2008-11-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,237.29,3.18
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,40.75,0.54
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,156.72,2.1
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,172.69,2.31
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,168,2.25
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2172.04,29.04
